,precision,recall,f1-score,support
Live,0.0,0.0,0.0,145.0
Spoof,0.7687400318979266,1.0,0.8692515779981965,482.0
accuracy,0.7687400318979266,0.7687400318979266,0.7687400318979266,0.7687400318979266
macro avg,0.3843700159489633,0.5,0.43462578899909826,627.0
weighted avg,0.5909612366424253,0.7687400318979266,0.6682284857976566,627.0
