,precision,recall,f1-score,support
Live,1.0,0.9310344827586207,0.9642857142857143,145.0
Spoof,0.9796747967479674,1.0,0.9897330595482546,482.0
accuracy,0.9840510366826156,0.9840510366826156,0.9840510366826156,0.9840510366826156
macro avg,0.9898373983739837,0.9655172413793103,0.9770093869169845,627.0
weighted avg,0.9843752026037007,0.9840510366826156,0.9838481072945571,627.0
