,precision,recall,f1-score,support
Live,0.951048951048951,0.9379310344827586,0.9444444444444444,145.0
Spoof,0.981404958677686,0.9854771784232366,0.9834368530020704,482.0
accuracy,0.9744816586921851,0.9744816586921851,0.9744816586921851,0.9744816586921851
macro avg,0.9662269548633184,0.9617041064529976,0.9639406487232574,627.0
weighted avg,0.9743848293217585,0.9744816586921851,0.9744194698428108,627.0
